,Symbol,Price,Market_Cap,Weight,Ideal_Alloc,Num_Stocks,Port_Alloc,Port_Weight,Final_Diff
28,TM,153.29,214296297943.0,0.005673590789083057,567.3590789083057,4.0,613.16,0.006130586001075422,-45.80092109169425
29,T,29.44,209789440000.0,0.005554269699738284,555.4269699738285,19.0,559.36,0.005592674971559705,-3.9330300261715365
30,ASML,500.0,209748744000.0,0.005553192254850207,555.3192254850208,1.0,500.0,0.00499917313676318,55.31922548502075
31,MRK,80.96,204831588020.0,0.005423008340595034,542.3008340595034,7.0,566.7199999999999,0.005666262800132858,-24.419165940496555
32,PFE,36.81,204604578809.0,0.0054169981697198034,541.6998169719803,15.0,552.1500000000001,0.00552058689492758,-10.450183028019751
33,PDD,166.78,204526695311.0,0.00541493616911076,541.493616911076,3.0,500.34000000000003,0.005002572574496179,41.153616911075915
34,INTC,49.67,203547660000.0,0.0053890157692905345,538.9015769290535,11.0,546.37,0.005462796453466597,-7.468423070946528
35,CRM,220.31,202186086814.0,0.005352967507323793,535.2967507323793,2.0,440.62,0.004405471335041184,94.67675073237933
36,PEP,144.27,199374862091.0,0.005278539069466702,527.8539069466702,4.0,577.08,0.005769845667526592,-49.226093053329805
37,ABT,109.11,193382372103.0,0.005119885204113262,511.9885204113262,5.0,545.55,0.0054545978095223045,-33.56147958867376
38,ORCL,63.75,187682167500.0,0.004968969725675684,496.89697256756835,8.0,510.0,0.005099156599498444,-13.103027432431645
39,TMO,471.82,186998869818.0,0.004950879112482599,495.0879112482599,1.0,471.82,0.004717419738775206,23.267911248259907
40,ABBV,105.41,186098606223.0,0.004927044229242118,492.70442292421177,5.0,527.05,0.005269628403462067,-34.345577075788185
41,CSCO,43.96,185753613068.0,0.004917910380429548,491.7910380429548,11.0,483.56,0.004834800324026407,8.231038042954822
42,XOM,41.5,175471715731.0,0.004645692527926014,464.56925279260145,11.0,456.5,0.004564245073864783,8.069252792601446
43,AVGO,425.22,172942552036.0,0.00457873178253856,457.873178253856,1.0,425.22,0.004251496802428879,32.65317825385597
44,BHP,67.35,170325563423.0,0.00450944583298006,450.94458329800597,7.0,471.44999999999993,0.004713720350654002,-20.505416701993965
45,ACN,256.46,169689838828.0,0.00449261473864382,449.261473864382,2.0,512.92,0.00512835177061714,-63.65852613561793
46,COST,380.15,168389430304.0,0.0044581858385898685,445.81858385898687,1.0,380.15,0.003800871335881045,65.66858385898689
47,QCOM,148.5,167953500000.0,0.004446644387891946,444.66443878919455,3.0,445.5,0.004454263264855993,-0.8355612108054515
48,NVO,71.43,165179113588.0,0.004373191260873077,437.31912608730767,6.0,428.58000000000004,0.004285091245907927,8.739126087307625
49,TMUS,132.43,164370364746.0,0.004351779271843414,435.1779271843414,3.0,397.29,0.003972242991009288,37.88792718434138
50,CVX,84.71,163067613449.0,0.004317288345821486,431.7288345821486,5.0,423.54999999999995,0.004234799564152089,8.178834582148625
